t,class,conf,area,infer_ms,e2e_ms,fired
1783028657.671,,,,48.8,51.0,
1783028657.726,,,,44.5,47.0,
1783028657.770,,,,47.1,50.1,
1783028657.840,,,,45.9,48.8,
1783028657.885,,,,49.6,63.6,
1783028657.935,,,,46.9,49.9,
1783028657.982,,,,52.4,63.4,
1783028658.034,,,,53.1,68.4,
1783028658.087,,,,51.1,62.8,
1783028658.138,,,,41.6,54.8,
1783028658.180,,,,47.5,57.2,
1783028658.233,,,,46.6,51.7,
1783028658.280,,,,44.0,47.0,
1783028658.329,,,,42.4,44.9,
1783028658.383,,,,46.1,48.9,
1783028658.430,,,,47.2,51.2,
1783028658.483,,,,45.8,46.4,
1783028658.535,,,,49.2,54.2,
1783028658.584,,,,47.0,49.0,
1783028658.636,,,,46.0,48.5,
1783028658.689,,,,44.6,48.1,
1783028658.783,,,,46.5,48.5,
1783028658.835,,,,43.5,44.5,
1783028658.890,,,,48.9,50.9,
1783028658.939,,,,49.3,52.9,
1783028658.994,,,,50.7,55.2,
1783028659.045,,,,46.8,56.3,
1783028659.091,,,,44.5,45.5,
1783028659.141,,,,43.5,48.5,
1783028659.191,,,,48.2,49.7,
1783028659.245,,,,44.2,48.2,
1783028659.306,,,,47.0,51.5,
1783028659.353,,,,45.2,56.2,
1783028659.398,,,,49.7,55.0,
1783028659.448,,,,43.8,49.7,
1783028659.509,,,,49.5,51.5,
1783028659.558,,,,46.5,60.5,
1783028659.606,,,,50.4,59.4,
1783028659.656,,,,53.7,63.5,
1783028659.710,,,,48.1,64.1,
1783028659.758,,,,44.5,55.4,
1783028659.802,,,,44.1,48.5,
1783028659.852,,,,45.0,48.5,
1783028659.904,,,,40.6,44.1,
1783028659.951,,,,48.1,52.6,
1783028660.004,,,,47.9,51.4,
1783028660.052,,,,47.2,50.1,
1783028660.105,,,,48.0,49.5,
1783028660.159,,,,43.1,47.2,
1783028660.207,,,,44.1,48.6,
1783028660.257,,,,45.5,46.5,
1783028660.308,,,,47.0,48.5,
1783028660.388,,,,48.1,51.1,
1783028660.436,,,,46.0,77.0,
1783028660.482,,,,48.0,75.1,
1783028660.530,,,,45.5,66.5,
1783028660.576,,,,46.5,62.5,
1783028660.622,,,,48.0,60.0,
1783028660.670,,,,47.2,55.2,
1783028660.717,,,,48.5,55.5,
1783028660.766,,,,46.6,54.6,
1783028660.814,,,,47.0,49.0,
1783028660.867,,,,52.9,56.9,
1783028660.919,,,,55.4,58.4,
1783028660.975,,,,55.4,63.8,
1783028661.030,,,,56.2,71.8,
1783028661.086,,,,52.9,68.7,
1783028661.139,,,,55.1,72.2,
1783028661.194,,,,53.3,78.1,
1783028661.248,,,,54.4,79.1,
1783028661.302,,,,53.8,82.8,
1783028661.356,,,,56.6,89.6,
1783028661.413,,,,54.5,91.6,
1783028661.467,,,,53.5,97.0,
1783028661.522,,,,51.1,97.6,
1783028661.573,,,,50.4,97.5,
1783028661.623,,,,51.4,97.7,
1783028661.674,,,,55.8,104.2,
1783028661.730,,,,52.5,54.7,
1783028661.783,,,,53.9,58.5,
1783028661.837,,,,55.3,63.3,
1783028661.892,,,,50.9,62.1,
1783028661.943,,,,51.4,65.1,
1783028661.994,,,,47.1,61.4,
1783028662.041,,,,46.7,54.7,
1783028662.088,,,,45.5,49.5,
1783028662.139,,,,49.4,53.9,
1783028662.188,,,,47.1,50.1,
1783028662.241,,,,49.5,54.2,
1783028662.296,,,,46.5,51.0,
1783028662.343,,,,46.3,47.3,
1783028662.395,,,,52.1,55.1,
1783028662.447,,,,51.5,55.5,
1783028662.498,,,,52.0,59.0,
1783028662.550,,,,54.2,59.2,
1783028662.604,,,,51.1,61.1,
1783028662.655,,,,46.0,57.0,
1783028662.702,,,,46.5,56.5,
1783028662.749,,,,48.0,50.0,
1783028662.797,,,,47.7,48.7,
1783028662.850,,,,44.4,49.9,
1783028662.901,,,,49.7,53.2,
1783028662.951,,,,46.4,51.4,
1783028663.003,,,,49.3,51.3,
1783028663.052,,,,46.0,51.1,
1783028663.109,,,,46.2,51.1,
1783028663.156,,,,46.0,49.0,
1783028663.208,,,,46.4,50.3,
1783028663.260,,,,44.9,48.9,
1783028663.311,,,,44.8,50.3,
1783028663.362,,,,51.0,56.4,
1783028663.413,,,,53.9,60.9,
1783028663.467,,,,48.3,57.9,
1783028663.515,,,,46.1,52.3,
1783028663.562,,,,47.0,50.0,
1783028663.615,,,,44.5,47.5,
1783028663.665,,,,45.5,51.7,
1783028663.712,,,,44.9,46.1,
1783028663.763,,,,47.1,51.9,
1783028663.815,,,,46.6,51.1,
1783028663.862,,,,47.9,51.0,
1783028663.915,,,,44.7,48.7,
1783028663.966,,,,49.3,51.3,
1783028664.015,,,,48.5,52.5,
1783028664.064,,,,51.8,54.8,
1783028664.116,,,,44.9,46.5,
1783028664.167,,,,46.3,50.3,
1783028664.219,,,,46.5,47.5,
1783028664.271,,,,46.0,50.5,
1783028664.317,,,,46.2,47.2,
1783028664.375,,,,44.2,48.7,
1783028664.426,,,,45.6,51.0,
1783028664.471,,,,47.8,49.8,
1783028664.519,,,,46.0,48.0,
1783028664.576,,,,46.5,52.5,
1783028664.629,,,,44.0,48.6,
1783028664.679,,,,43.1,45.6,
1783028664.728,,,,45.2,47.2,
1783028664.779,,,,44.7,47.7,
1783028664.829,,,,45.7,48.2,
1783028664.880,,,,44.0,46.3,
1783028664.930,,,,46.6,48.6,
1783028664.982,,,,43.9,46.9,
1783028665.043,,,,49.4,54.9,
1783028665.092,,,,44.3,53.3,
1783028665.137,,,,45.5,50.5,
1783028665.182,,,,44.1,45.1,
1783028665.238,,,,50.0,51.0,
1783028665.288,,,,48.6,53.6,
